"lemmatized_Ru1" "lemmatized_Ru2" "lemmatized_Ru3" "lemmatized_Ru4" "lemmatized_Ru5" "rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb"
"без" 0.15407789972025 0.0596486897856761 0.0862298731636957 0.0787860473147988 0.084522714142041 0
"плот" 0.0929632020658489 0.115183676827512 0.111314927174953 0.10145052667933 0.0920120685596902 0
"три" 0.0852162685603615 0.0966720144802337 0.101908031920731 0.0960542220687273 0.100571330751289 0
"вода" 0.0783301054443727 0.109013122711753 0.105043663672138 0.104688309445692 0.0909421607857403 0
"совсем" 0.0447600602539273 0.117240528199432 0.0909333207908063 0.0895786565360042 0.148717180579034 0
"ее" 0.126533247256294 0.0925583117363939 0.0783907937851779 0.0831030910032809 0.0738236364025421 0
"пароход" 0.0921024316763503 0.0925583117363939 0.101908031920731 0.0928164393023657 0.0909421607857403 0
"никогда" 0.0895201205078545 0.100785717224073 0.0893655049151028 0.0971334829908479 0.0898722530117904 0
"через" 0.0791908758338713 0.0987288658521535 0.0893655049151028 0.117639440511138 0.0802430830462414 0
"взять" 0.0395954379169357 0.0925583117363939 0.11445055892636 0.100371265757209 0.126249117326086 0
"деньги" 0.0929632020658489 0.0431938788103172 0.123857454180581 0.0841823519254015 0.0909421607857403 0
"увидеть" 0.0705831719388853 0.102842568595993 0.0909333207908063 0.113322396822656 0.0770333597243918 0
"сторона" 0.11103938024532 0.0822740548767946 0.0611448191524387 0.0777067863926783 0.084522714142041 0
"затем" 0.16010329244674 0.139865893290551 0.106611479547842 0.0377741322742186 0.00106990777394989 0
"пойти" 0.0223800301269636 0.113126825455593 0.105043663672138 0.110084614056294 0.115550039586588 0
"конец" 0.0964062836238433 0.045250730182237 0.053305739773921 0.0766275254705578 0.126249117326086 0
"стоять" 0.0921024316763503 0.0802172035048747 0.0736873461580672 0.0874201346917631 0.0866625296899407 0
"отец" 0.0628362384333979 0.121354230943272 0.117586190677767 0.0884993956138836 0.0695440053067426 0
"всякий" 0.0791908758338713 0.0555349870418364 0.0721195302823636 0.0895786565360042 0.109130592942888 0
"глаз" 0.0748870238863783 0.0946151631083138 0.11445055892636 0.0744690036263167 0.0781032674983416 0
"друг" 0.110178609855821 0.0575918384137562 0.0783907937851779 0.0766275254705578 0.0759634519504419 0
"лодка" 0.0800516462233699 0.181002920728948 0.14110342881332 0.0302193058193749 0.0524254809235444 0
"целый" 0.0972670540133419 0.0863877576206343 0.0940689525422134 0.0604386116387498 0.0813129908201913 0
"дверь" 0.0731654831073811 0.0863877576206343 0.0893655049151028 0.0895786565360042 0.084522714142041 0
"случай" 0.163546374004734 0.0719897980171953 0.0501701080225138 0.0496460024175445 0.0460060342798451 0
"час" 0.0697224015493867 0.123411082315192 0.0893655049151028 0.0733897427041962 0.0781032674983416 0
"казаться" 0.112760921024317 0.0740466493891151 0.0893655049151028 0.0712312208599551 0.0427963109579954 0
"далеко" 0.0473423714224231 0.104899419967913 0.0940689525422134 0.0755482645484372 0.0995014229773394 0
"старик" 0.0585323864859049 0.0843309062487145 0.0893655049151028 0.0712312208599551 0.0962916996554897 0
"вдруг" 0.0223800301269636 0.15837755563783 0.133264349434802 0.0561215679502677 0.0855926219159908 0
"всегда" 0.0602539272649021 0.0678760952733555 0.0564413715253281 0.0895786565360042 0.101641238525239 0
"сидеть" 0.0662793199913923 0.0658192439014357 0.0658482667795494 0.0712312208599551 0.106990777394989 0
"никто" 0.0723047127178825 0.0637623925295158 0.0768229779094743 0.0625971334829908 0.0952217918815398 0
"лес" 0.0602539272649021 0.0946151631083138 0.0721195302823636 0.0809445691590399 0.0781032674983416 0
"течение" 0.122229395308801 0.0555349870418364 0.0470344762711067 0.066914177171473 0.0524254809235444 0
"доллар" 0.0723047127178825 0.0596486897856761 0.095636768417917 0.0744690036263167 0.0684740975327927 0
"наконец" 0.0680008607703895 0.115183676827512 0.147374692316134 0.0518045242617855 0.0320972332184966 0
"бог" 0.0525069937594147 0.0925583117363939 0.081526425536585 0.0766275254705578 0.0802430830462414 0
"начать" 0.0766085646653755 0.0863877576206343 0.0752551620337708 0.0464082196511829 0.0877324374638906 0
"много" 0.0327092748009468 0.0678760952733555 0.081526425536585 0.0723104817820756 0.120899578456337 0
"решить" 0.0525069937594147 0.0822740548767946 0.0689838985309565 0.0949749611466068 0.074893544176492 0
"сейчас" 0.0731654831073811 0.0987288658521535 0.0940689525422134 0.0561215679502677 0.0609847431151435 0
"гка" 0.0456208306434259 0.113126825455593 0.117586190677767 0.0647556553272319 0.0609847431151435 0
"просто" 0.0352915859694427 0.0596486897856761 0.0642804509038458 0.0928164393023657 0.110200500716838 0
"нога" 0.0662793199913923 0.109013122711753 0.0940689525422134 0.0550423070281471 0.0620546508890934 0
"прямо" 0.0723047127178825 0.045250730182237 0.0438988445196996 0.12195648419962 0.055635204245394 0
"все" 0.0895201205078545 0.0699329466452754 0.0564413715253281 0.0280607839751338 0.104850961847089 0
"большой" 0.0852162685603615 0.0658192439014357 0.067416082655253 0.0679934380935935 0.0641944664369931 0
"прийтись" 0.0817731870023671 0.0493644329260768 0.0658482667795494 0.0658349162493524 0.0770333597243918 0
"будто" 0.0834947277813643 0.0267390678349582 0.0438988445196996 0.0388533931963391 0.123039394004237 0
"выйти" 0.0662793199913923 0.045250730182237 0.0517379238982174 0.0712312208599551 0.0952217918815398 0
"туда" 0.0645577792123951 0.0534781356699165 0.0595770032767352 0.0787860473147988 0.0781032674983416 0
"прийти" 0.0740262534968797 0.0822740548767946 0.105043663672138 0.0539630461060266 0.0438662187319453 0
"совершенно" 0.163546374004734 0.0658192439014357 0.0344919492654783 0.0410119150405802 0.00106990777394989 0
"комната" 0.0619754680438993 0.0637623925295158 0.0721195302823636 0.0647556553272319 0.074893544176492 0
"таки" 0.0998493651818377 0.061705541157596 0.0486022921468103 0.0194266965981696 0.0898722530117904 0
"оно" 0.0559500753174091 0.0575918384137562 0.0580091874010316 0.0744690036263167 0.084522714142041 0
"мисс" 0.0568108457069077 0.0575918384137562 0.081526425536585 0.066914177171473 0.0674041897588428 0
"собака" 0.0542285345384119 0.0946151631083138 0.0689838985309565 0.0593593507166293 0.0631245586630432 0
"твой" 0.0507854529804175 0.104899419967913 0.0877976890393992 0.0636763944051114 0.0449361265058952 0
"вид" 0.0671400903808909 0.0555349870418364 0.0595770032767352 0.0884993956138836 0.0438662187319453 0
"каждый" 0.0895201205078545 0.0431938788103172 0.0501701080225138 0.0625971334829908 0.0545652964714442 0
"оба" 0.0869378093393587 0.0390801760664774 0.0501701080225138 0.0550423070281471 0.0620546508890934 0
"приняться" 0.146330966214762 0.0329096219507178 0.0470344762711067 0.0248230012087722 0.0235379710268975 0
"год" 0.0507854529804175 0.0514212842979966 0.0580091874010316 0.0755482645484372 0.0727537286285922 0
"оказаться" 0.11706477297181 0.0370233246945576 0.0470344762711067 0.0334570885857365 0.047075942053795 0
"об" 0.0723047127178825 0.0781603521329549 0.0783907937851779 0.0733897427041962 0.0181884321571481 0
"вместе" 0.0748870238863783 0.0596486897856761 0.0486022921468103 0.0453289587290623 0.0706139130806924 0
"первый" 0.0525069937594147 0.0637623925295158 0.0564413715253281 0.0550423070281471 0.0781032674983416 0
"миля" 0.0576716160964063 0.045250730182237 0.0438988445196996 0.0744690036263167 0.0695440053067426 0
"спросить" 0.0705831719388853 0.076103500761035 0.0799586096608814 0.032377827663616 0.0481458498277448 0
"джить" 0.0482031418119217 0.104899419967913 0.0893655049151028 0.0377741322742186 0.0481458498277448 0
"несколько" 0.0826339573918657 0.0637623925295158 0.0705517144066601 0.0636763944051114 0.0139088010613485 0
"между" 0.0921024316763503 0.0637623925295158 0.0642804509038458 0.0399326541184597 0.0288875098966469 0
"никакой" 0.0542285345384119 0.061705541157596 0.0391953968925889 0.0550423070281471 0.0791731752722915 0
"остров" 0.0593931568754035 0.0781603521329549 0.0548735556496245 0.0464082196511829 0.0620546508890934 0
"чуть" 0.0525069937594147 0.0473075815541569 0.0580091874010316 0.0528837851839061 0.0727537286285922 0
"заметить" 0.0602539272649021 0.0905014603644741 0.0846620572879921 0.0388533931963391 0.0342370487663963 0
"разво" 0.0482031418119217 0.061705541157596 0.0627126350281423 0.0604386116387498 0.0577750197932938 0
"вернуться" 0.0697224015493867 0.0493644329260768 0.0580091874010316 0.0539630461060266 0.0449361265058952 0
"найти" 0.0516462233699161 0.0802172035048747 0.0595770032767352 0.0593593507166293 0.0438662187319453 0
"маленький" 0.0542285345384119 0.076103500761035 0.0580091874010316 0.0582800897945087 0.0427963109579954 0
"перед" 0.0731654831073811 0.0493644329260768 0.0454666603954032 0.0431704368848213 0.0545652964714442 0
"над" 0.0559500753174091 0.0658192439014357 0.053305739773921 0.0561215679502677 0.047075942053795 0
"жизнь" 0.0593931568754035 0.0534781356699165 0.0611448191524387 0.0561215679502677 0.0417264031840455 0
"том" 0.0559500753174091 0.0884446089925542 0.0642804509038458 0.0388533931963391 0.0417264031840455 0
"плота" 0.0473423714224231 0.0719897980171953 0.0548735556496245 0.0485667414954239 0.055635204245394 0
"образ" 0.136001721540779 0.0555349870418364 0.0344919492654783 0.00863408737696426 0.00641944664369931 0
"б" 0.0421777490854315 0.0431938788103172 0.0689838985309565 0.0377741322742186 0.0759634519504419 0
"вечер" 0.0387346675274371 0.0658192439014357 0.0736873461580672 0.0528837851839061 0.0502856653756446 0
"тетя" 0.000860770389498601 0.125467933687112 0.0846620572879921 0.0518045242617855 0.0577750197932938 0
"дерево" 0.0602539272649021 0.0699329466452754 0.0548735556496245 0.0431704368848213 0.0406564954100957 0
"дать" 0.0473423714224231 0.0349664733226377 0.053305739773921 0.0679934380935935 0.0502856653756446 0
"утро" 0.0464816010329245 0.045250730182237 0.0580091874010316 0.0550423070281471 0.055635204245394 0
"отправиться" 0.0550893049279105 0.0884446089925542 0.0705517144066601 0.0496460024175445 0.0160486166092483 0
"джий" 0.0275446524639552 0.111069974083673 0.0830942414122885 0.032377827663616 0.0460060342798451 0
"сюда" 0.0525069937594147 0.045250730182237 0.0564413715253281 0.0474874805733034 0.0502856653756446 0
"челнок" 0.0327092748009468 0.00822740548767946 0.00627126350281423 0.0917371783802452 0.0834528063680911 0
"бедный" 0.0223800301269636 0.0966720144802337 0.103475847796435 0.0420911759627007 0.0320972332184966 0
"почти" 0.0490639122014203 0.0555349870418364 0.0454666603954032 0.0625971334829908 0.0395865876361458 0
"спать" 0.0327092748009468 0.0493644329260768 0.0580091874010316 0.0636763944051114 0.0534953886974943 0
"свет" 0.0525069937594147 0.045250730182237 0.053305739773921 0.0442496978069418 0.0524254809235444 0
"снова" 0.0447600602539273 0.0514212842979966 0.0423310286439961 0.104688309445692 0.00641944664369931 0
"нужный" 0.0241015709059608 0.0658192439014357 0.0658482667795494 0.0572008288723882 0.0545652964714442 0
"хороший" 0.0318485044114482 0.0473075815541569 0.0627126350281423 0.050725263339665 0.0631245586630432 0
"доктор" 0.0464816010329245 0.0349664733226377 0.0658482667795494 0.0464082196511829 0.0524254809235444 0
"дорога" 0.0482031418119217 0.0493644329260768 0.0391953968925889 0.050725263339665 0.0567051120193439 0
"конечно" 0.00344308155799441 0.0884446089925542 0.0736873461580672 0.0539630461060266 0.0641944664369931 0
"новый" 0.0387346675274371 0.0493644329260768 0.0736873461580672 0.0366948713520981 0.0567051120193439 0
"подумать" 0.0189369485689692 0.0493644329260768 0.0564413715253281 0.0712312208599551 0.0588449275672437 0
"кроме" 0.0447600602539273 0.0226253650911185 0.0313563175140711 0.069072699015714 0.0588449275672437 0
"мальчик" 0.0525069937594147 0.0493644329260768 0.0376275810168854 0.0485667414954239 0.0502856653756446 0
"сколько" 0.0464816010329245 0.0411370274383973 0.0454666603954032 0.0377741322742186 0.0674041897588428 0
"однако" 0.137723262319776 0.0102842568595993 0.0203816063841462 0.00107926092212053 0.0203282477050478 0
"рассказать" 0.0370131267484399 0.0637623925295158 0.053305739773921 0.0528837851839061 0.0438662187319453 0
"вниз" 0.0473423714224231 0.0514212842979966 0.0486022921468103 0.0356156104299776 0.055635204245394 0
"негр" 0.0430385194749301 0.0431938788103172 0.0438988445196996 0.0539630461060266 0.0492157576016947 0
"письмо" 0.0456208306434259 0.0473075815541569 0.0580091874010316 0.0388533931963391 0.0492157576016947 0
"скоро" 0.0111900150634818 0.0596486897856761 0.0721195302823636 0.0334570885857365 0.0802430830462414 0
"куда" 0.0413169786959329 0.0370233246945576 0.053305739773921 0.0388533931963391 0.0609847431151435 0
"смотреть" 0.0206584893479664 0.0555349870418364 0.0580091874010316 0.0474874805733034 0.0641944664369931 0
"лицо" 0.0464816010329245 0.0370233246945576 0.0627126350281423 0.0442496978069418 0.0406564954100957 0
"десять" 0.0387346675274371 0.0473075815541569 0.0564413715253281 0.0464082196511829 0.0460060342798451 0
"платье" 0.0395954379169357 0.061705541157596 0.0595770032767352 0.0453289587290623 0.0363768643142961 0
"стоить" 0.0430385194749301 0.0431938788103172 0.0329241333897747 0.0496460024175445 0.055635204245394 0
"лежать" 0.0499246825909189 0.0514212842979966 0.0517379238982174 0.0356156104299776 0.0427963109579954 0
"мог" 0.0464816010329245 0.0658192439014357 0.0517379238982174 0.0442496978069418 0.0310273254445467 0
"салли" 0.0430385194749301 0.0678760952733555 0.0564413715253281 0.0388533931963391 0.0363768643142961 0
"остаться" 0.0490639122014203 0.0431938788103172 0.0517379238982174 0.034536349507857 0.0481458498277448 0
"равно" 0.0197977189584678 0.0411370274383973 0.0376275810168854 0.0593593507166293 0.0706139130806924 0
"немного" 0.034430815579944 0.0370233246945576 0.0501701080225138 0.0777067863926783 0.0267476943487471 0
"оставить" 0.0404562083064343 0.0534781356699165 0.0627126350281423 0.0431704368848213 0.0363768643142961 0
